"","Village","production","production_estimee"
"1","Ambatoraikitra",3588.10514045338,4
"2","Ambohibe",430960.854990242,431
"3","Ambolikapiky",14238.2233329781,14
"4","Ambondro",22125.44249035,22
"5","Ampitsopitsoka",105367.239769654,105
"6","Andranopasy",103141.988582001,103
"7","Ankazomahity",14103.6211502438,14
"8","Ankilifaly",108407.942784289,108
"9","Ankotapike",70847.0023285512,71
"10","Ankotika",15448.1784526474,15
"11","Antsahampano",35681.5666990271,36
"12","Antsakoamanera",24785.02013884,25
"13","Antsatrana",13947.7950041215,14
"14","Antsosa",163044.478377317,163
"15","Baly",176639.853565218,177
"16","Befandefa",36321.0090650417,36
"17","Befotaka",37892.3979910922,38
"18","Berokadrokatra",42432.1218087747,42
"19","Boringeny",116221.315424501,116
"20","Langany",22881.132480541,23
"21","Marohata",48812.0625095095,49
"22","Marotia",157372.066154738,157
"23","Nosy-Be",351841.056876086,352
"24","Sambiravo",92565.8136041166,93
